Source;Target;type
"Alastor ""Mad-Eye"" Moody";Harry Potter;+
"Alastor ""Mad-Eye"" Moody";Arthur Weasley;+
"Alastor ""Mad-Eye"" Moody";Molly Weasley;+
"Alastor ""Mad-Eye"" Moody";Hermione Granger;+
"Alastor ""Mad-Eye"" Moody";Hermione Granger;+
"Alastor ""Mad-Eye"" Moody";"Bartemius ""Barty"" Crouch Jr.";-
"Alastor ""Mad-Eye"" Moody";Albus Dumbledore;+
"Alastor ""Mad-Eye"" Moody";Lord Voldemort;-
Alberforth Dumbledore;Albus Dumbledore;+
Alberforth Dumbledore;Hermione Granger;+
Alberforth Dumbledore;Harry Potter;+
Alberforth Dumbledore;Ron Weasley;+
Alberforth Dumbledore;Dobby;+
Albus Dumbledore;Sirius Black;+
Albus Dumbledore;Alberforth Dumbledore;+
Albus Dumbledore;Petunia Dursley;-
Albus Dumbledore;Vernon Dursley;-
Albus Dumbledore;Hermione Granger;+
Albus Dumbledore;Rubeus Hagrid;+
Albus Dumbledore;Bellatrix Lestrange;-
Albus Dumbledore;Remus Lupin;+
Albus Dumbledore;Minerva McGonagall;+
Albus Dumbledore;Minerva McGonagall;+
Albus Dumbledore;"Alastor ""Mad-Eye"" Moody";+
Albus Dumbledore;Peter Pettigrew;-
Albus Dumbledore;Harry Potter;+
Albus Dumbledore;James Potter;+
Albus Dumbledore;Lily Potter;+
Albus Dumbledore;Quirinus Quirrell;-
Albus Dumbledore;Lord Voldemort;-
Albus Dumbledore;Rita Skeeter;-
Albus Dumbledore;Severus Snape;+
Albus Dumbledore;Dolores Janes Umbridge;-
Albus Dumbledore;Dolores Janes Umbridge;-
Albus Dumbledore;Arthur Weasley;+
Albus Dumbledore;Bill Weasley;+
Albus Dumbledore;Charlie Weasley;+
Albus Dumbledore;Fred Weasley;+
Albus Dumbledore;George Weasley;+
Albus Dumbledore;Ginny Weasley;+
Albus Dumbledore;Molly Weasley;+
Albus Dumbledore;Percy Weasley;+
Albus Dumbledore;Ron Weasley;+
Albus Dumbledore;Minerva McGonagall;+
Albus Dumbledore;"Alastor ""Mad-Eye"" Moody";+
Albus Dumbledore;Quirinus Quirrell;-
Albus Dumbledore;Rita Skeeter;-
Albus Dumbledore;Quirinus Quirrell;+
Albus Dumbledore;Dolores Janes Umbridge;-
Alice Longbottom;Frank Longbottom;+
Alice Longbottom;Frank Longbottom;+
Alice Longbottom;Neville Longbottom;+
Aragog;Hermione Granger;-
Aragog;Rubeus Hagrid;+
Aragog;Harry Potter;-
Aragog;Ron Weasley;-
Aragog;Ron Weasley;+
Argus Filch;Sirius Black;-
Argus Filch;Albus Dumbledore;+
Argus Filch;Rubeus Hagrid;-
Argus Filch;Minerva McGonagall;-
Argus Filch;Peter Pettigrew;-
Argus Filch;Harry Potter;-
Argus Filch;James Potter;-
Argus Filch;Severus Snape;+
Argus Filch;Dolores Janes Umbridge;+
Argus Filch;Fred Weasley;-
Argus Filch;George Weasley;-
Arthur Weasley;Hermione Granger;+
Arthur Weasley;Sirius Black;+
Arthur Weasley;Albus Dumbledore;+
Arthur Weasley;Lucius Malfoy;-
Arthur Weasley;Harry Potter;+
Arthur Weasley;Bill Weasley;+
Arthur Weasley;Charlie Weasley;+
Arthur Weasley;Fred Weasley;+
Arthur Weasley;George Weasley;+
Arthur Weasley;George Weasley;+
Arthur Weasley;Ginny Weasley;+
Arthur Weasley;Percy Weasley;+
Arthur Weasley;Bill Weasley;+
Arthur Weasley;Charlie Weasley;+
"Bartemius ""Barty"" Crouch Jr.";"Bartemius ""Barty"" Crouch Sr.";-
"Bartemius ""Barty"" Crouch Jr.";Hermione Granger;-
"Bartemius ""Barty"" Crouch Jr.";Neville Longbottom;+
"Bartemius ""Barty"" Crouch Jr.";Minerva McGonagall;-
"Bartemius ""Barty"" Crouch Jr.";"Alastor ""Mad-Eye"" Moody";-
"Bartemius ""Barty"" Crouch Jr.";Harry Potter;-
"Bartemius ""Barty"" Crouch Jr.";Lord Voldemort;+
"Bartemius ""Barty"" Crouch Jr.";Severus Snape;-
"Bartemius ""Barty"" Crouch Jr.";Peter Pettigrew;+
"Bartemius ""Barty"" Crouch Jr.";"Alastor ""Mad-Eye"" Moody";-
"Bartemius ""Barty"" Crouch Sr.";Vincent Crabbe Sr.;+
"Bartemius ""Barty"" Crouch Sr.";"Bartemius ""Barty"" Crouch Jr.";-
"Bartemius ""Barty"" Crouch Sr.";Igor Karkaroff;+
"Bartemius ""Barty"" Crouch Sr.";Percy Weasley;+
Bellatrix Lestrange;Lord Voldemort;+
Bellatrix Lestrange;Lucius Malfoy;+
Bellatrix Lestrange;Narcissa Malfoy;+
Bellatrix Lestrange;Sirius Black;-
Bellatrix Lestrange;Harry Potter;-
Bellatrix Lestrange;Nymphadora Tonks;-
Bellatrix Lestrange;Molly Weasley;-
Bellatrix Lestrange;Dobby;-
Bill Weasley;Arthur Weasley;+
Bill Weasley;Harry Potter;+
Bill Weasley;Lord Voldemort;-
Bill Weasley;Hermione Granger;+
Bill Weasley;Arthur Weasley;+
Bill Weasley;Charlie Weasley;+
Bill Weasley;Fred Weasley;+
Bill Weasley;George Weasley;+
Bill Weasley;George Weasley;+
Bill Weasley;Ginny Weasley;+
Bill Weasley;Percy Weasley;+
Cedric Diggory;Cho Chang;+
Cedric Diggory;Harry Potter;+
Cedric Diggory;Lord Voldemort;-
Charlie Weasley;Arthur Weasley;+
Charlie Weasley;Bill Weasley;+
Charlie Weasley;Hermione Granger;+
Charlie Weasley;Harry Potter;+
Charlie Weasley;Arthur Weasley;+
Charlie Weasley;Fred Weasley;+
Charlie Weasley;George Weasley;+
Charlie Weasley;George Weasley;+
Charlie Weasley;Lord Voldemort;-
Charlie Weasley;Ginny Weasley;+
Charlie Weasley;Percy Weasley;+
Cho Chang;Cedric Diggory;+
Cho Chang;Seamus Finnigan;+
Cho Chang;Hermione Granger;+
Cho Chang;Neville Longbottom;+
Cho Chang;Harry Potter;+
Cho Chang;Lord Voldemort;-
Cho Chang;Ron Weasley;+
Cornelius Fudge;Albus Dumbledore;-
Cornelius Fudge;Lucius Malfoy;+
Cornelius Fudge;Harry Potter;-
Cornelius Fudge;Dolores Janes Umbridge;+
Cornelius Fudge;Arthur Weasley;-
Cornelius Fudge;Percy Weasley;+
Cornelius Fudge;Dolores Janes Umbridge;+
Dobby;Hermione Granger;+
Dobby;Bellatrix Lestrange;-
Dobby;Draco Malfoy;-
Dobby;Lucius Malfoy;-
Dobby;Harry Potter;+
Dobby;Ron Weasley;+
Dolores Janes Umbridge;Harry Potter;-
Dolores Janes Umbridge;Hermione Granger;-
Dolores Janes Umbridge;Hermione Granger;-
Dolores Janes Umbridge;Albus Dumbledore;-
Dolores Janes Umbridge;Cornelius Fudge;+
Draco Malfoy;Vincent Crabbe;+
Draco Malfoy;Gregory Goyle;+
Draco Malfoy;Lucius Malfoy;+
Draco Malfoy;Narcissa Malfoy;+
Draco Malfoy;Harry Potter;-
Draco Malfoy;Hermione Granger;-
Draco Malfoy;Ron Weasley;-
Dudley Dursley;Vernon Dursley;+
Dudley Dursley;Harry Potter;-
Dudley Dursley;Rubeus Hagrid;-
Fleur Delacour;Hermione Granger;+
Fleur Delacour;Bellatrix Lestrange;-
Fleur Delacour;Neville Longbottom;+
Fleur Delacour;"Alastor ""Mad-Eye"" Moody";+
Fleur Delacour;Harry Potter;+
Fleur Delacour;Bill Weasley;+
Fleur Delacour;Ginny Weasley;+
Fleur Delacour;Molly Weasley;+
Fleur Delacour;Ron Weasley;+
Fluffy;Hermione Granger;-
Fluffy;Rubeus Hagrid;+
Fluffy;Harry Potter;-
Fluffy;Ron Weasley;-
Frank Longbottom;Alice Longbottom;+
Frank Longbottom;Lord Voldemort;-
Frank Longbottom;Neville Longbottom;+
Fred Weasley;Arthur Weasley;+
Fred Weasley;Bill Weasley;+
Fred Weasley;Charlie Weasley;+
Fred Weasley;Hermione Granger;+
Fred Weasley;Remus Lupin;+
Fred Weasley;Peter Pettigrew;-
Fred Weasley;Harry Potter;+
Fred Weasley;Lord Voldemort;-
Fred Weasley;Severus Snape;+
Fred Weasley;Arthur Weasley;+
Fred Weasley;Bill Weasley;+
Fred Weasley;Charlie Weasley;+
Fred Weasley;George Weasley;+
Fred Weasley;Ginny Weasley;+
Fred Weasley;Molly Weasley;+
Fred Weasley;Percy Weasley;+
Fred Weasley;Ron Weasley;+
George Weasley;Arthur Weasley;+
George Weasley;Arthur Weasley;+
George Weasley;Bill Weasley;+
George Weasley;Bill Weasley;+
George Weasley;Charlie Weasley;+
George Weasley;Charlie Weasley;+
George Weasley;Hermione Granger;+
George Weasley;Remus Lupin;+
George Weasley;Peter Pettigrew;-
George Weasley;Harry Potter;+
George Weasley;Lord Voldemort;-
George Weasley;Severus Snape;+
George Weasley;Arthur Weasley;+
George Weasley;Bill Weasley;+
George Weasley;Charlie Weasley;+
George Weasley;Fred Weasley;+
George Weasley;Ginny Weasley;+
George Weasley;Molly Weasley;+
George Weasley;Percy Weasley;+
George Weasley;Ron Weasley;+
Ginny Weasley;Arthur Weasley;+
Ginny Weasley;Bill Weasley;+
Ginny Weasley;Charlie Weasley;+
Ginny Weasley;Hermione Granger;+
Ginny Weasley;Remus Lupin;+
Ginny Weasley;Peter Pettigrew;-
Ginny Weasley;Harry Potter;+
Ginny Weasley;Lord Voldemort;-
Ginny Weasley;Severus Snape;+
Ginny Weasley;Arthur Weasley;+
Ginny Weasley;Bill Weasley;+
Ginny Weasley;Charlie Weasley;+
Ginny Weasley;George Weasley;+
Ginny Weasley;Fred Weasley;+
Ginny Weasley;Molly Weasley;+
Ginny Weasley;Percy Weasley;+
Ginny Weasley;Percy Weasley;+
Ginny Weasley;Ron Weasley;+
Goyle Sr.;Vincent Crabbe Sr.;+
Goyle Sr.;Gregory Goyle;+
Goyle Sr.;Lord Voldemort;+
Grawp;Hermione Granger;+
Grawp;Rubeus Hagrid;+
Grawp;Harry Potter;+
Gregory Goyle;Goyle Sr.;+
Gregory Goyle;Vincent Crabbe;+
Gregory Goyle;Draco Malfoy;+
Gregory Goyle;Harry Potter;-
Gregory Goyle;Lord Voldemort;+
Harry Potter;Minerva McGonagall;+
Harry Potter;"Alastor ""Mad-Eye"" Moody";+
Harry Potter;Lord Voldemort;-
Harry Potter;Peter Pettigrew;-
Harry Potter;James Potter;+
Harry Potter;Quirinus Quirrell;-
Harry Potter;Rita Skeeter;-
Harry Potter;Severus Snape;+
Harry Potter;Dolores Janes Umbridge;-
Hedwig;Harry Potter;+
Hermione Granger;Harry Potter;+
Hermione Granger;Ron Weasley;+
Hermione Granger;George Weasley;+
Hermione Granger;Molly Weasley;+
Hermione Granger;Severus Snape;+
Hermione Granger;Luna Lovegood;+
Hermione Granger;Neville Longbottom;+
