Name;Value
"Alastor ""Mad-Eye"" Moody";361
Alberforth Dumbledore;36
Albus Dumbledore;3025
Alice Longbottom;16
Aragog;49
Argus Filch;196
Arthur Weasley;1156
"Bartemius ""Barty"" Crouch Jr.";144
"Bartemius ""Barty"" Crouch Sr.";36
Bellatrix Lestrange;256
Bill Weasley;784
Cedric Diggory;25
Charlie Weasley;729
Cho Chang;81
Cornelius Fudge;64
Dobby;100
Dolores Janes Umbridge;289
Draco Malfoy;196
Dudley Dursley;25
Fleur Delacour;144
Fluffy;36
Frank Longbottom;25
Fred Weasley;0
George Weasley;0
Ginny Weasley;900
Goyle Sr.;16
Grawp;25
Gregory Goyle;100
Harry Potter;3136
Hedwig;1
Hermione Granger;3481
Igor Karkaroff;25
James Potter;324
Lavender Brown;16
Lily Potter;196
Lord Voldemort;2116
Lucius Malfoy;225
Luna Lovegood;81
Mary Riddle;9
Minerva McGonagall;529
Moaning Myrtle;1
Molly Weasley;576
Narcissa Malfoy;49
Neville Longbottom;289
Nicolas Flamel;1
Nymphadora Tonks;36
Olympe Maxime;25
Percy Weasley;529
Peter Pettigrew;529
Petunia Dursley;36
Quirinus Quirrell;169
Regulus Arcturus Black;25
Remus Lupin;289
Rita Skeeter;25
Ron Weasley;3249
Rubeus Hagrid;441
Seamus Finnigan;100
Severus Snape;529
Sirius Black;1089
Tom Riddle Sr.;25
Vernon Dursley;36
Viktor Krum;36
Vincent Crabbe;100
Vincent Crabbe Sr.;121
Xenophilius Lovegood;1
